freq (Hz),Gain (dB),Phase (degC)
704.693069,32.87708744,95.92133842
714.4963261,32.75840349,95.99832827
724.4359601,32.63975614,96.07643888
734.5138682,32.5211464,96.15568416
744.7319739,32.40257533,96.23607818
755.0922277,32.28404399,96.31763517
765.5966069,32.16555348,96.40036956
776.2471166,32.04710494,96.48429595
787.0457897,31.92869952,96.56942912
797.9946873,31.81033843,96.65578401
809.0958992,31.69202288,96.74337576
820.3515443,31.57375414,96.83221968
831.7637711,31.4555335,96.92233126
843.3347578,31.33736229,97.01372619
855.0667129,31.21924187,97.1064203
866.9618758,31.10117365,97.20042965
879.0225168,30.98315907,97.29577045
891.2509381,30.8651996,97.3924591
903.6494737,30.74729677,97.49051218
916.2204901,30.62945213,97.58994648
928.9663868,30.51166728,97.69077892
941.8895965,30.39394389,97.79302665
954.992586,30.27628362,97.89670699
968.2778563,30.15868822,98.00183742
981.747943,30.04115947,98.10843563
995.4054174,29.9236992,98.21651949
1009.252886,29.80630929,98.32610702
1023.292992,29.68899167,98.43721646
1037.528416,29.57174831,98.5498662
1051.961874,29.45458126,98.66407483
1066.596121,29.3374926,98.77986109
1081.433951,29.22048448,98.89724393
1096.478196,29.10355909,99.01624244
1111.731727,28.9867187,99.1368759
1127.197456,28.86996563,99.25916377
1142.878335,28.75330225,99.38312566
1158.777356,28.63673102,99.50878135
1174.897555,28.52025443,99.6361508
1191.242008,28.40387507,99.76525412
1207.813835,28.28759558,99.89611157
1224.616199,28.17141868,100.0287436
1241.652308,28.05534713,100.1631707
1258.925412,27.93938381,100.2994137
1276.438809,27.82353164,100.4374935
1294.195841,27.70779363,100.577431
1312.199899,27.59217287,100.7192474
1330.454418,27.47667253,100.862964
1348.962883,27.36129585,101.0086022
1367.728826,27.24604616,101.1561835
1386.755829,27.13092689,101.3057296
1406.047524,27.01594154,101.4572623
1425.607594,26.90109372,101.6108033
1445.439771,26.7863871,101.7663748
1465.547841,26.67182548,101.9239986
1485.935642,26.55741274,102.0836971
1506.607066,26.44315285,102.2454923
1527.566058,26.3290499,102.4094066
1548.816619,26.21510808,102.5754623
1570.362804,26.10133166,102.7436818
1592.208727,25.98772506,102.9140875
1614.358557,25.87429277,103.086702
1636.816521,25.76103942,103.2615477
1659.586907,25.64796976,103.438647
1682.674061,25.53508862,103.6180226
1706.082389,25.42240099,103.7996968
1729.816359,25.30991197,103.9836921
1753.880502,25.19762678,104.1700309
1778.27941,25.08555076,104.3587356
1803.017741,24.97368941,104.5498285
1828.100216,24.86204834,104.7433318
1853.531623,24.7506333,104.9392675
1879.316817,24.63945019,105.1376577
1905.460718,24.52850502,105.3385242
1931.968317,24.41780399,105.5418888
1958.844674,24.30735342,105.7477729
1986.094917,24.19715977,105.9561979
2013.72425,24.08722969,106.1671849
2041.737945,23.97756994,106.3807548
2070.141349,23.86818748,106.5969282
2098.939884,23.7590894,106.8157256
2128.139046,23.65028297,107.037167
2157.744409,23.54177563,107.2612721
2187.761624,23.43357499,107.4880603
2218.19642,23.32568881,107.7175507
2249.054606,23.21812506,107.9497617
2280.342072,23.11089186,108.1847117
2312.06479,23.00399753,108.4224182
2344.228815,22.89745057,108.6628986
2376.840287,22.79125966,108.9061694
2409.905429,22.68543369,109.1522468
2443.430553,22.57998172,109.4011464
2477.422058,22.47491301,109.652883
2511.886432,22.37023703,109.9074708
2546.830253,22.26596344,110.1649235
2582.260191,22.16210211,110.4252537
2618.183008,22.05866312,110.6884734
2654.605562,21.95565675,110.9545939
2691.534804,21.8530935,111.2236255
2728.977783,21.75098407,111.4955775
2766.941645,21.64933939,111.7704583
2805.433638,21.5481706,112.0482755
